SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	August 31, 2024	August 30, 2024	August 29, 2024	August 28, 2024	August 27, 2024
Chinese yuan		0.1048050000	0.1043820000	0.1040520000	0.1039250000
Euro		0.8233290000	0.8226500000	0.8245830000	0.8271320000
Japanese yen		0.0051299300	0.0051369400	0.0051430600	0.0051207600
U.K. pound		0.9782000000	0.9787890000	0.9804580000	0.9793760000
U.S. dollar		0.7426080000	0.7419280000	0.7417320000	0.7410250000
Algerian dinar		0.0055517300	0.0055410600	0.0055507800	0.0055343300
Australian dollar		0.5054190000	0.5050300000	0.5035620000	0.5029340000
Botswana pula		0.0559184000	0.0558672000	0.0558524000	0.0558733000
Brazilian real		0.1313050000	0.1316600000	0.1341070000	0.1348230000
Brunei dollar		0.5698340000	0.5698810000	0.5692930000	0.5680960000
Canadian dollar		0.5504470000	0.5506370000	0.5506140000	0.5505390000
Chilean peso		0.0008094880	0.0008134460	0.0008174980	0.0008166910
Czech koruna		0.0328922000	0.0328592000	0.0329059000	0.0330313000
Danish krone		0.1103820000	0.1102930000	0.1105450000	0.1108620000
Indian rupee		0.0088541800	0.0088440700	0.0088336000	0.0088277800
Israeli New Shekel		0.2031200000	0.2024360000	0.2022170000	0.2011470000
Korean won		0.0005561360	0.0005558760	0.0005575260	0.0005597290
Kuwaiti dinar			2.4341500000	2.4335000000	2.4311800000
Malaysian ringgit		0.1720790000	0.1715240000	0.1707680000	0.1701550000
Mauritian rupee		0.0159020000	0.0158875000		0.0159305000
Mexican peso		0.0377850000		0.0378363000	0.0376744000
New Zealand dollar		0.4654670000	0.4661900000	0.4628040000	0.4604730000
Norwegian krone		0.0705995000	0.0706686000	0.0704051000	0.0705563000
Omani rial		1.9313600000	1.9295900000		
Peruvian sol			0.1984300000	0.1985900000	0.1981350000
Philippine peso		0.0131928000	0.0131891000	0.0131856000	0.0131553000
Polish zloty		0.1921660000	0.1918610000	0.1924630000	0.1933230000
Qatari riyal			0.2038260000	0.2037730000	0.2035780000
Russian ruble		0.0081438100	0.0081125100	0.0081112500	0.0081003400
Saudi Arabian riyal			0.1978470000	0.1977950000	0.1976070000
Singapore dollar		0.5698340000	0.5698810000	0.5692930000	0.5680960000
South African rand		0.0421666000	0.0418572000	0.0417278000	0.0417079000
Swedish krona		0.0726328000			0.0727098000
Swiss franc		0.8746860000	0.8795830000	0.8797150000	0.8752440000
Thai baht		0.0218568000	0.0218208000	0.0218201000	0.0217552000
Trinidadian dollar		0.1103910000	0.1100870000	0.1098680000	0.1098970000
U.A.E. dirham			0.2020230000	0.2019690000	0.2017770000
Uruguayan peso		0.0184110000	0.0183887000	0.0184281000	0.0183973000

Currency units per SDR(3)

Currency	August 31, 2024	August 30, 2024	August 29, 2024	August 28, 2024	August 27, 2024
Chinese yuan		9.541530	9.580200	9.610580	9.622320
Euro		1.214580	1.215580	1.212730	1.209000
Japanese yen		194.934000	194.668000	194.437000	195.284000
U.K. pound		1.022290	1.021670	1.019930	1.021060
U.S. dollar		1.346610	1.347840	1.348200	1.349480
Algerian dinar		180.124000	180.471000	180.155000	180.690000
Australian dollar		1.978560	1.980080	1.985850	1.988330
Botswana pula		17.883200	17.899600	17.904300	17.897600
Brazilian real		7.615860	7.595320	7.456730	7.417130
Brunei dollar		1.754900	1.754750	1.756560	1.760270
Canadian dollar		1.816710	1.816080	1.816150	1.816400
Chilean peso		1,235.350000	1,229.340000	1,223.240000	1,224.450000
Czech koruna		30.402300	30.432900	30.389700	30.274300
Danish krone		9.059450	9.066760	9.046090	9.020220
Indian rupee		112.941000	113.070000	113.204000	113.279000
Israeli New Shekel		4.923200	4.939830	4.945180	4.971490
Korean won		1,798.120000	1,798.960000	1,793.640000	1,786.580000
Kuwaiti dinar			0.410821	0.410931	0.411323
Malaysian ringgit		5.811280	5.830090	5.855900	5.876990
Mauritian rupee		62.885200	62.942600		62.772700
Mexican peso		26.465500		26.429600	26.543200
New Zealand dollar		2.148380	2.145050	2.160740	2.171680
Norwegian krone		14.164400	14.150600	14.203500	14.173100
Omani rial		0.517770	0.518245		
Peruvian sol			5.039560	5.035500	5.047060
Philippine peso		75.798900	75.820200	75.840300	76.015000
Polish zloty		5.203830	5.212110	5.195800	5.172690
Qatari riyal			4.906150	4.907420	4.912120
Russian ruble		122.793000	123.266000	123.286000	123.452000
Saudi Arabian riyal			5.054410	5.055740	5.060550
Singapore dollar		1.754900	1.754750	1.756560	1.760270
South African rand		23.715500	23.890800	23.964800	23.976300
Swedish krona		13.767900			13.753300
Swiss franc		1.143270	1.136900	1.136730	1.142540
Thai baht		45.752400	45.827800	45.829300	45.966000
Trinidadian dollar		9.058710	9.083720	9.101830	9.099430
U.A.E. dirham			4.949930	4.951250	4.955970
Uruguayan peso		54.315400	54.381200	54.265000	54.355800


(1) Exchange rates are published daily except on IMF holidays or, whenever the IMF is closed for business, or on an ad-hoc basis to facilitate unscheduled IMF operations.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
